base_id,name,lat,lon,distance_km,travel_h,freshness_pct
1,英茂花卉产业有限公司,25.168996,102.949708,53.26,0.5808,94.36
2,富态花卉种苗园,24.913351,102.789624,3.48,0.0751,99.25
3,曼朵花卉种植园,24.945913,102.86602,16.45,0.3336,96.72
4,云南丰岛花卉有限公司,25.237744,102.495773,60.82,0.7011,93.23
5,昆明盆花苗木种植批发基地1期,24.908777,102.789227,3.46,0.0791,99.21
6,优花农业花卉基地,24.907813,102.780197,2.25,0.0683,99.32
7,昆明茹浩花卉种植有限公司,24.90596,102.787322,2.32,0.0672,99.33
8,晋宁区玉莲花卉合作社,24.661021,102.621695,42.77,0.4803,95.31
9,雅绮花卉种苗基地,24.919905,102.799528,4.4,0.1114,98.89
10,晋宁林茂花卉种植专业合作社,24.686675,102.490456,60.3,0.9434,91.0
11,云南省农科院花卉所(宝峰基地),24.569282,102.560391,58.15,0.6534,93.67
12,斗南花卉盆景生态园C区,24.896398,102.772056,2.62,0.0617,99.38
13,昆明绿景苑花卉,24.904966,102.808019,4.26,0.1,99.01
14,昆明英茂花卉产业有限公司禄劝基地,25.576724,102.540381,121.77,1.4455,86.54
15,云南宏博花卉种植园,24.917239,103.412743,92.33,1.0143,90.35
16,昆明斗南红梅花卉种苗基地,24.917824,102.796318,3.93,0.0956,99.05
17,洛羊农村电商农业花卉种植示范基地,24.924899,102.806477,5.67,0.1436,98.57
18,云南爱上花花卉种植有限公司,24.906121,102.772223,2.36,0.0738,99.26
19,毅莱花卉种植有限公司,24.925331,102.803648,5.12,0.1235,98.77
20,昆明空谷幽兰花卉基地,24.911236,102.778405,3.26,0.1021,98.98
21,柏悦兰园花卉基地,24.912481,102.77836,3.39,0.1064,98.94
22,宜良顺民花卉花木城一期基地,24.86079,103.14391,64.58,0.8296,92.04
23,艾莎精品多肉,24.857272,102.821856,11.02,0.1576,98.44
24,矣六社区多肉,24.910837,102.765048,4.84,0.1268,98.74
25,昆明润和花卉种植有限公司,24.900375,102.784775,0.38,0.0125,99.87
26,昆明市嵩明缘情花卉种植有限责任公司,25.305485,102.983333,58.64,0.7298,92.96
27,云南付氏农业蔬菜花卉育苗基地,24.870062,102.956766,32.35,0.3718,96.35
28,睿颖花卉二基地,24.943849,103.175623,59.64,0.7056,93.19
29,昆明市淘多肉园艺,24.799885,102.811979,31.04,0.355,96.51
30,禹雅花卉基地,24.913787,102.778635,3.52,0.1108,98.9
31,小老虎花卉一基地,24.858276,103.144516,64.74,0.8334,92.0
32,昆明福美花卉有限公司基地,24.915914,102.796359,3.55,0.0844,99.16
33,金兰园艺,24.906785,102.776046,2.68,0.0825,99.18
34,龙欣园艺,24.916248,102.777433,4.77,0.1089,98.92
35,顺鸿花卉种植基地,24.629801,102.598568,46.95,0.554,94.61
36,云南容升花卉有限公司,24.925227,102.809588,5.41,0.1349,98.66
37,云南永茗花卉种植有限公司(双河基地),24.574944,102.457494,70.77,1.0111,90.38
38,云南绿丰花卉种苗有限公司,24.917452,102.792853,6.34,0.1658,98.36
39,凯宇花卉种植园,24.820405,103.423378,93.35,1.0527,90.01
40,佳雄兰业嵩明花卉有限公司,25.341701,102.994531,65.19,0.7796,92.5
41,呈贡区兰亭茶韵花卉种植园,24.854476,102.866126,14.07,0.2734,97.3
42,昆明阳辉园艺,24.918625,102.789875,12.39,0.1744,98.27
43,小城花卉种植园,24.959825,103.400175,92.33,1.0143,90.35
44,烜荣花卉二基地,24.859119,103.147995,67.77,0.9501,90.94
45,云润花卉,25.024696,103.049525,83.26,0.884,91.54
46,云上甄选多肉基地,24.812505,102.858484,26.36,0.3637,96.43
47,云南媛媛花卉种苗基地,24.622977,102.585835,48.99,0.5611,94.54
48,瑞均花卉梦金鹏基地,24.670854,102.334802,82.57,1.3659,87.23
49,嵩明瑞枫花卉基地,25.351716,103.026285,67.95,0.8311,92.02
50,嵩明县重友花卉种植基地,25.380349,103.099803,72.83,0.8483,91.87
51,锦铭花卉多肉基地,24.866529,102.441923,58.42,0.7897,92.41
52,古木派多肉花园,24.894649,102.81943,,,
53,喜洋洋花卉基地,24.727002,103.26333,87.55,0.9706,90.75
54,凯烨玫瑰,24.925625,103.169575,59.64,0.71,93.15
55,雅露多肉,24.91645,102.770068,4.86,0.1119,98.89
56,云南木木花卉种植有限公司,25.042801,102.727019,20.84,0.2922,97.12
57,萌卉多肉森林,24.580053,102.568469,56.83,0.6185,94.0
58,石林语禾花卉种植园,24.741766,103.274743,92.8,1.0566,89.97
59,欣欣玫瑰,24.885084,103.158414,64.16,0.8297,92.04
60,石林县锦沃花卉园艺园,24.74176,103.282628,92.11,1.0391,90.13
61,川桂园艺,24.907026,102.77927,2.48,0.0761,99.24
62,小洛园艺,24.810117,102.869027,25.37,0.3538,96.52
63,昆明市云家多肉园,24.905924,102.763615,3.47,0.0812,99.19
64,红烧多肉植物基地,24.624509,102.634986,45.08,0.6055,94.12
65,云南花知源花卉基地有限公司,24.847725,103.440925,93.83,1.0846,89.72
66,小天空多肉花园新基地,24.905808,102.76011,3.81,0.0926,99.08
67,昆明瑰谷花卉种植有限公司,24.718613,102.710312,32.42,0.4258,95.83
68,昆明市晋宁区滇知韵花卉种植农民专业合作社,24.656875,102.670525,41.67,0.6121,94.06
69,宜良彧源花卉种植园,24.855647,103.158131,67.45,0.9395,91.03
70,玉溪上云丰花卉农业科技有限公司,24.32005,102.495806,83.85,0.944,90.99
71,玉溪市江川区齐兴花卉种植基地,24.270959,102.751848,90.15,0.9999,90.48
72,鑫丽花卉种植基地,24.318675,102.587125,88.7,1.0057,90.43
73,红塔区亮亮花卉种植基地,24.361898,102.489804,87.95,0.9889,90.58
74,玉溪安誉诚农业科技有限公司,24.113272,102.740011,113.53,1.2714,88.06
75,绍成花卉,24.161871,102.708136,106.51,1.1559,89.08
76,玉溪藤润花卉种植园,24.400874,102.547515,74.74,0.7986,92.32
77,红塔区彦涵花卉种植基地,24.326008,102.497028,83.85,0.944,90.99
78,江川区锦鑫花卉种植基地,24.278349,102.755991,96.3,1.0183,90.32
79,易门美天娇花卉有限公司,24.636325,102.162525,109.0,1.1383,89.24
80,玫瑰花基地,24.352057,102.517069,79.3,0.8649,91.71
81,红塔区航慧花卉种植园,24.369883,102.523124,77.02,0.8748,91.62
82,玉溪春和现代花卉产业融合发展示范园,24.3982,102.522928,74.34,0.8145,92.18
83,红塔区斌秀花卉种植园,24.381216,102.537342,81.14,0.8549,91.81
84,红塔区傅氏花卉种植园,24.325028,102.495302,83.85,0.944,90.99
