cold_name,cold_lat,cold_lon,hub_name,hub_type,hub_lat,hub_lon,distance_km,travel_h
明品福东盟国际冷链物流中心,24.93423,102.823306,洛羊镇站,火车站,24.935375,102.837647,1.66,0.0555
云南三志物流有限公司,24.914877,102.805174,呈贡站(暂停营业),火车站,24.927799,102.808955,2.76,0.0744
掌金冷链,24.958076,102.917167,水塘站(暂停营业),火车站,24.951279,102.968729,7.6,0.1129
云南众而沃实业有限责任公司中通冷链云南管理中心,24.961693,102.929235,水塘站(暂停营业),火车站,24.951279,102.968729,4.88,0.0677
蓝象冷链物流(云南)有限公司,24.926473,102.810166,呈贡站(暂停营业),火车站,24.927799,102.808955,1.44,0.0395
中通冷链(昆明分拨中心),24.963963,102.930546,水塘站(暂停营业),火车站,24.951279,102.968729,5.3,0.0795
中通冷链(昆明佳盟花卉市场店),25.003694,102.728681,昆明站,火车站,25.015257,102.722277,4.4,0.07
思楠冷链,24.900843,102.774764,呈贡站(暂停营业),火车站,24.927799,102.808955,6.14,0.1495
云南昆旺冷链运输有限公司,24.900025,102.775375,呈贡站(暂停营业),火车站,24.927799,102.808955,5.83,0.1393
云南中明冷链运输有限公司,25.024225,102.881375,昆明长水国际机场,机场,25.099565,102.935835,10.46,0.1792
云南·瞬达冷链物流(昆明点),25.01845,102.788589,牛街庄站,火车站,25.005995,102.780872,3.44,0.0955
上海春风物流昆明分公司(云南极速配物流有限公司),25.011765,102.714225,昆明站,火车站,25.015257,102.722277,5.07,0.1078
鑫亚冷链物流,24.901718,102.775725,呈贡站(暂停营业),火车站,24.927799,102.808955,6.14,0.1495
云南汇全冷链物流有限公司,25.035555,102.889546,昆明长水国际机场,机场,25.099565,102.935835,9.44,0.1454
云南吉云冷链物流有限公司,24.953525,102.876525,水塘站(暂停营业),火车站,24.951279,102.968729,18.19,0.2387
云南凯健投资有限公司,24.955585,102.914192,水塘站(暂停营业),火车站,24.951279,102.968729,7.22,0.1002
云南汇鑫达冷链物流有限公司,24.93326,102.82324,洛羊镇站,火车站,24.935375,102.837647,1.66,0.0555
云南润涵冷链物流,24.901502,102.775464,呈贡站(暂停营业),火车站,24.927799,102.808955,6.14,0.1495
呈贡合硕物流冷链,24.910725,102.780725,呈贡站(暂停营业),火车站,24.927799,102.808955,5.47,0.1331
云南嘉行冷链,25.066865,102.936985,昆明长水国际机场S1卫星厅,机场,25.108575,102.938846,5.45,0.1213
云南陆航冷链物流有限公司,24.910077,102.78035,呈贡站(暂停营业),火车站,24.927799,102.808955,5.49,0.1337
云南泰通冷链物流有限公司,24.964366,102.930273,水塘站(暂停营业),火车站,24.951279,102.968729,5.35,0.0811
万纬昆明长水空港物流园(一期),25.114172,102.979775,昆明长水国际机场T2航站楼(建设中),机场,25.117175,102.94529,2.82,0.0599
中通冷链(五华区营业部),25.035533,102.693752,昆明站,火车站,25.015257,102.722277,5.43,0.0811
滇丰冷链昆明有限公司,24.954644,102.877011,洛羊镇站,火车站,24.935375,102.837647,6.79,0.1397
云聚物流东盟冷链营业部(物丰街店),24.933267,102.82222,洛羊镇站,火车站,24.935375,102.837647,1.76,0.0586
昆明凌云物流有限公司,25.030925,102.768475,牛街庄站,火车站,25.005995,102.780872,4.85,0.1042
云南总镖头冷链物流有限公司,24.907436,102.839948,广南卫站,火车站,24.919757,102.895419,6.57,0.1642
云南鲜生活冷链物流有限公司,24.978561,102.781429,牛街庄站,火车站,25.005995,102.780872,3.94,0.103
河北朗格物流,24.934174,102.82357,洛羊镇站,火车站,24.935375,102.837647,1.66,0.0555
云南明汇冷链运输有限公司,24.954972,102.877152,洛羊镇站,火车站,24.935375,102.837647,6.79,0.1397
河北亿鑫冷藏物流有限公司昆明分公司,24.954725,102.875275,昆明南站,火车站,24.869978,102.86087,16.81,0.2124
华北冷链专线,24.901876,102.77591,呈贡站(暂停营业),火车站,24.927799,102.808955,6.14,0.1495
众鑫冷链·鑫荣供应链,24.934575,102.823525,洛羊镇站,火车站,24.935375,102.837647,1.51,0.0505
中通冷链(朱家村立交店),25.00379,102.771003,牛街庄站,火车站,25.005995,102.780872,2.91,0.0363
云南东达冷链运输有限公司,24.95485,102.87709,洛羊镇站,火车站,24.935375,102.837647,6.79,0.1397
云南大昌行储运有限公司,24.946687,102.846195,洛羊镇站,火车站,24.935375,102.837647,3.39,0.1035
东盟国际冷链物流中心2期,24.934675,102.823975,洛羊镇站,火车站,24.935375,102.837647,1.51,0.0505
云南煌家冷链物流有限公司,25.020328,102.776165,牛街庄站,火车站,25.005995,102.780872,2.76,0.0706
云南花运通冷链物流有限公司,24.89337,102.790088,呈贡站(暂停营业),火车站,24.927799,102.808955,5.53,0.1166
云南亚中冷链医药物流有限责任公司,25.077037,102.649246,麻园站,火车站,25.052447,102.685609,5.75,0.1317
云南恒延冷链发展有限公司,24.728693,102.585132,昆阳站,火车站,24.662859,102.609061,14.7,0.2061
昆明西兴冷链物流有限公司,24.997006,102.616902,石咀站(暂停营业),火车站,25.017059,102.629555,6.74,0.0821
旱邦冷链调度中心,24.967268,102.797775,牛街庄站,火车站,25.005995,102.780872,10.55,0.1753
云南交投物流(聚和)跨境冷链运营中心,24.928325,102.839475,洛羊镇站,火车站,24.935375,102.837647,4.35,0.1185
云南又一顺国际冷链物流有限公司,25.000058,102.669737,石咀站(暂停营业),火车站,25.017059,102.629555,10.06,0.1263
安宁市中老铁路国际冷链物流基地(建设中),24.889653,102.521375,牧羊村站,火车站,24.985882,102.421658,22.28,0.3108
玉溪果韵冷链物流有限公司,24.304619,102.715658,玉溪站,火车站,24.33922,102.512214,26.43,0.3871
通海县中通冷链,24.154233,102.651741,通海站,火车站,24.116377,102.668564,5.61,0.1444
华溪双甜果蔬仓储冷链物流中心,24.061205,103.007669,通海站,火车站,24.116377,102.668564,63.55,0.8924
云南越来顺冷链物流有限公司(车后中心),24.275305,102.518612,玉溪站,火车站,24.33922,102.512214,8.44,0.141
陆腾智能冷链物流园冷库,25.062275,103.661125,陆良站,火车站,24.846654,103.697892,33.24,0.3394
冷链物流包装服务配送中心,25.055264,103.662086,陆良站,火车站,24.846654,103.697892,34.79,0.373
灿林农业冷链物流园,25.052389,103.658678,陆良站,火车站,24.846654,103.697892,34.47,0.3623
陆腾智能冷链物流园,25.062088,103.660972,陆良站,火车站,24.846654,103.697892,34.84,0.3599
待冉冷链,26.195378,103.412621,船篷子码头,高速,26.340776,103.274203,31.46,0.5108
姚安好平物流,25.520825,101.243675,沙桥站,火车站,25.24514,101.14548,50.06,0.5411
禄丰市电子商务冷链物流中心,25.127077,102.069473,禄丰南站,火车站,25.120056,102.063658,2.81,0.0626
天锋冷链物流,25.738461,101.850079,元谋西站,火车站,25.70816,101.840562,7.22,0.1306
云南高原农产品(姚安)冷链物流产业园,25.593835,101.234425,沙桥站,火车站,25.24514,101.14548,58.84,0.662
和立鑫达冷链加工新市场,26.019635,101.679856,永仁站,火车站,26.0489,101.710362,41.88,0.463
元谋顺祥仓储物流有限公司,25.686466,101.868742,元谋西站,火车站,25.70816,101.840562,7.66,0.1332
泸西县双其冷链物流有限公司,24.6256,103.681692,陆良站,火车站,24.846654,103.697892,41.49,0.555
佳沃水果分选加工和冷链物流园区,23.452253,103.327255,红河站,火车站,23.450455,103.352996,3.22,0.1073
春宜富冷链物流中心,23.725289,102.495404,吴家庄站,火车站,23.711953,102.520804,4.57,0.0854
中通冷链红河石屏网点,23.716693,102.499859,吴家庄站,火车站,23.711953,102.520804,3.82,0.0897
瞬达冷链物流杨梅专线(老杜仓),23.64014,102.560165,坝心站,火车站,23.657614,102.640294,10.94,0.2558
蒙自市芷村镇双利枇杷冷链物流分拣中心,23.339179,103.544324,黑龙潭站,火车站,23.374232,103.460589,12.92,0.2021
青壹农业蓝莓葡萄冷链加工冷链配送中心,23.557339,102.758003,南营寨站,火车站,23.623125,102.881547,18.39,0.3487
瞬达冷链物流,23.647136,102.636158,团山车站,火车站,23.645559,102.744007,18.51,0.2187
云南汇全冷链物流,23.647375,102.635925,吴家庄站,火车站,23.711953,102.520804,29.35,0.3431
大理海建绿色智慧冷链物流中心,25.647077,100.309626,大理凤仪机场,机场,25.646965,100.320952,9.65,0.1596
宾川华侨庄园冷链物流,25.806856,100.60065,大理凤仪机场,机场,25.646965,100.320952,45.51,0.4903
八里路物流城,25.460463,100.564066,祥云站,火车站,25.450128,100.557865,2.4,0.0449
泰兴冷链物流中心,25.462324,100.769994,沐滂站,火车站,25.399627,100.771124,9.78,0.2062
剑川县文智冷链物流有限责任公司,26.544575,99.91311,拉市海站,火车站,26.881174,100.168467,59.76,0.6294
乐递汇滇西冷链共配中心,25.60436,100.283858,大理站,火车站,25.589569,100.250635,4.72,0.0824
大理秀园农产品冷链物流配送中心,25.679551,100.184292,大理站,火车站,25.589569,100.250635,14.76,0.2488
鹤庆县沪滇协作冷链物流,26.56817,100.155995,鹤庆站,火车站,26.55571,100.216432,11.38,0.2594
剑川智慧冷链物流有限公司,26.517101,99.913016,拉市海站,火车站,26.881174,100.168467,60.4,0.6362
宾川县冷链物流中心,25.790537,100.58784,大理凤仪机场,机场,25.646965,100.320952,43.39,0.4526
弥渡马帮冷链物流有限公司,25.375675,100.453625,弥渡站,火车站,25.491118,100.423585,19.21,0.3283
中通冷链,25.461219,100.565519,祥云站,火车站,25.450128,100.557865,2.4,0.0449
巍山县冷链物流中心,25.292234,100.284645,巍山站,火车站,25.229618,100.294004,7.22,0.1151
