city,lat,lon,distance_km,travel_h,freshness_pct
北京,39.865066,116.456316,2559.94,25.6962,7.66
上海,31.236487,121.503231,2304.32,23.1082,9.92
广州,23.114077,113.261515,1338.88,13.4513,26.05
深圳,22.563832,114.03731,1420.02,14.2726,24.0
成都,30.579702,104.133968,820.66,8.2311,43.91
重庆,29.565215,106.560345,859.53,8.6362,42.16
杭州,30.240372,120.16624,2151.0,21.7132,11.4
南京,32.04315,118.764743,2082.96,20.8807,12.39
武汉,30.584547,114.283924,1565.45,15.7481,20.7
西安,34.342182,108.915434,1487.04,14.9803,22.36
郑州,34.726847,113.627222,1934.33,19.4241,14.34
长沙,28.234415,112.905022,1302.58,13.1095,26.96
福州,26.060525,119.278975,2040.66,20.4607,12.92
厦门,24.461732,118.092388,1953.07,19.6338,14.04
南宁,22.85466,108.360877,772.07,7.7857,45.91
沈阳,41.695898,123.420579,3219.83,32.2481,3.98
济南,36.651813,117.115806,2316.07,23.2455,9.78
天津,39.092098,117.227565,2569.55,25.7482,7.62
青岛,36.067,120.382,2575.8,25.9825,7.44
海口,20.022,110.33,,,
贵阳,26.647,106.63,529.47,5.358,58.52
昆明,24.902676,102.788064,7.56,0.0944,99.06
兰州,36.061,103.834,1670.23,16.7496,18.73
西宁,36.623,101.78,1873.71,18.8,15.26
拉萨,29.65,91.117,,,
乌鲁木齐,43.826,87.56,3574.72,35.8065,2.79
呼和浩特,40.823,111.765,2448.1,24.5963,8.55
银川,38.486,106.232,1942.5,19.5003,14.23
太原,37.87,112.563,2085.41,20.9747,12.28
石家庄,38.042,114.514,2278.24,22.8988,10.13
