factory_id,factory_lat,factory_lon,store_id,store_lat,store_lon,distance_km,travel_h
1,24.956048,102.918969,58,24.887839,102.825318,14.67,0.3119
1,24.956048,102.918969,49,24.880873,102.824558,15.75,0.3345
1,24.956048,102.918969,38,24.877277,102.825018,15.97,0.3358
1,24.956048,102.918969,43,24.856251,102.836921,18.39,0.3746
1,24.956048,102.918969,46,24.857566,102.860076,20.3,0.3583
1,24.956048,102.918969,64,24.953883,102.75418,23.46,0.3263
1,24.956048,102.918969,48,24.954918,102.754512,23.55,0.3312
1,24.956048,102.918969,54,24.976499,102.763515,24.32,0.3103
1,24.956048,102.918969,11,24.975782,102.761436,24.39,0.3126
1,24.956048,102.918969,33,24.967073,102.792852,24.45,0.3046
1,24.956048,102.918969,18,25.030005,102.734582,24.54,0.3057
1,24.956048,102.918969,41,25.029838,102.731797,24.64,0.3182
1,24.956048,102.918969,42,25.012332,102.741341,24.65,0.3114
1,24.956048,102.918969,31,24.902825,102.788144,25.01,0.327
1,24.956048,102.918969,61,24.903374,102.787903,25.01,0.327
1,24.956048,102.918969,24,25.036582,102.720998,25.26,0.326
1,24.956048,102.918969,32,25.037792,102.720133,25.33,0.3272
1,24.956048,102.918969,35,25.01759,102.720254,25.34,0.2997
1,24.956048,102.918969,8,25.017778,102.718046,25.58,0.3026
1,24.956048,102.918969,53,25.042435,102.722253,25.68,0.3391
1,24.956048,102.918969,51,24.951159,102.762866,26.15,0.3476
1,24.956048,102.918969,59,25.035963,102.712313,26.15,0.3408
1,24.956048,102.918969,5,25.036758,102.711479,26.25,0.3425
1,24.956048,102.918969,47,25.029787,102.723431,26.33,0.3202
1,24.956048,102.918969,15,24.946946,102.766473,26.35,0.3426
1,24.956048,102.918969,7,25.036777,102.709338,26.46,0.346
1,24.956048,102.918969,3,25.023279,102.713511,26.5,0.321
1,24.956048,102.918969,1,25.038232,102.709463,26.65,0.3607
1,24.956048,102.918969,6,25.038259,102.709537,26.65,0.3607
1,24.956048,102.918969,23,25.038231,102.709577,26.65,0.3607
1,24.956048,102.918969,4,25.033193,102.720373,26.66,0.3336
1,24.956048,102.918969,2,25.038431,102.708774,26.73,0.3633
1,24.956048,102.918969,36,25.039971,102.711598,26.79,0.3578
1,24.956048,102.918969,67,25.006243,102.735529,26.88,0.3338
1,24.956048,102.918969,34,25.021039,102.723025,26.92,0.3341
1,24.956048,102.918969,56,25.045098,102.714254,26.96,0.3546
1,24.956048,102.918969,9,25.040698,102.708656,27.02,0.3634
1,24.956048,102.918969,22,25.01892,102.721192,27.11,0.3406
1,24.956048,102.918969,14,25.044113,102.70872,27.4,0.3801
1,24.956048,102.918969,13,25.050038,102.713552,27.46,0.3672
1,24.956048,102.918969,20,25.039458,102.708842,27.67,0.3761
1,24.956048,102.918969,27,25.03954,102.708709,27.67,0.3761
1,24.956048,102.918969,12,25.036139,102.711831,27.75,0.3676
1,24.956048,102.918969,16,25.007315,102.709421,27.8,0.3539
1,24.956048,102.918969,45,25.035975,102.712825,27.83,0.3689
1,24.956048,102.918969,26,25.032488,102.709097,27.89,0.3595
1,24.956048,102.918969,52,25.020036,102.709004,27.93,0.3573
1,24.956048,102.918969,62,25.056526,102.734395,27.93,0.3435
1,24.956048,102.918969,39,25.006938,102.710096,27.96,0.3579
